6-block periodic repeat unit for wurtzite superlattices along the [0001] direction,"Lattice Parameter
(angstrom)"
BeTe-ZnSe-ZnSe-ZnSe-ZnSe-ZnSe,4.038
BN-BN-BN-BN-BN-BN,2.555
BP-BP-BP-BP-BP-BP,3.2
BP-BP-BP-BP-BP-GaN,3.2060000000000004
BP-BP-BP-BP-BP-ZnO,3.202
BP-BP-BP-BP-ZnO-ZnO,3.209
BP-BP-BP-ZnO-GaN-GaN,3.157
BP-BP-BP-ZnO-ZnO-GaN,3.173
BP-BP-BP-ZnO-ZnO-ZnO,3.217
BP-BP-GaN-GaN-GaN-GaN,3.2110000000000003
BP-BP-ZnO-ZnO-GaN-GaN,3.174
BP-BP-ZnO-ZnO-ZnO-GaN,3.19
BP-BP-ZnO-ZnO-ZnO-ZnO,3.233
BP-GaN-GaN-GaN-GaN-GaN,3.2110000000000003
BP-ZnO-GaN-GaN-GaN-GaN,3.153
BP-ZnO-ZnO-ZnO-GaN-GaN,3.188
BP-ZnO-ZnO-ZnO-ZnO-GaN,3.2030000000000003
CdS-CdS-CdS-CdS-CdS-CdS,4.202
CdS-CdS-CdS-CdS-InP-InP,4.24
CdS-CdS-CdS-InP-InP-InP,4.2410000000000005
CdS-CdS-InP-InP-InP-InP,4.24
CdSe-CdSe-CdSe-CdSe-CdSe-CdSe,4.386
CdSe-CdSe-CdSe-CdSe-InAs-InAs,4.412
CdSe-CdSe-CdSe-CdSe-InP-InP,4.351
CdSe-CdSe-CdSe-InP-InP-InP,4.3180000000000005
CdSe-CdSe-InAs-InAs-InAs-InAs,4.404
CdSe-InAs-InAs-InAs-InAs-InAs,4.396
CdSe-InP-InP-InP-InP-InP,4.251
CdTe-CdTe-CdTe-CdTe-CdTe-CdTe,4.674
CdTe-InSb-InSb-InSb-InSb-InSb,4.703
CuBr-CuBr-CuBr-CuBr-CuBr-CuBr,4.018
CuBr-CuBr-CuBr-CuBr-CuBr-GaAs,4.084
CuBr-CuBr-CuBr-CuBr-CuBr-GaP,4.008
CuBr-CuBr-CuBr-CuBr-GaAs-GaAs,4.055
CuBr-CuBr-CuBr-CuBr-GaP-GaP,3.958
CuBr-CuBr-CuBr-CuBr-ZnSe-ZnSe,4.082
CuBr-CuBr-CuBr-GaAs-GaAs-GaAs,3.993
CuBr-CuBr-CuBr-GaP-GaP-GaP,3.901
CuBr-CuBr-CuBr-ZnSe-GaAs-GaAs,4.069
CuBr-CuBr-CuBr-ZnSe-ZnSe-GaAs,4.091
CuBr-CuBr-CuBr-ZnSe-ZnSe-GaP,4.002
CuBr-CuBr-CuBr-ZnSe-ZnSe-ZnSe,4.061
CuBr-CuBr-GaAs-GaAs-GaAs-GaAs,3.996
CuBr-CuBr-GaP-GaP-GaP-GaP,3.878
CuBr-CuBr-ZnSe-GaP-GaP-GaP,3.857
CuBr-CuBr-ZnSe-ZnSe-GaAs-GaAs,4.078
CuBr-CuBr-ZnSe-ZnSe-GaP-GaP,3.989
CuBr-CuBr-ZnSe-ZnSe-ZnSe-GaAs,4.084
CuBr-CuBr-ZnSe-ZnSe-ZnSe-GaP,4.015
CuBr-CuBr-ZnSe-ZnSe-ZnSe-ZnSe,4.062
CuBr-GaAs-GaAs-GaAs-GaAs-GaAs,4.007
CuBr-GaP-GaP-GaP-GaP-GaP,3.869
CuBr-ZnSe-GaAs-GaAs-GaAs-GaAs,4.086
CuBr-ZnSe-GaP-GaP-GaP-GaP,3.899
CuBr-ZnSe-ZnSe-GaAs-GaAs-GaAs,4.092
CuBr-ZnSe-ZnSe-GaP-GaP-GaP,3.955
CuBr-ZnSe-ZnSe-ZnSe-GaAs-GaAs,4.092
CuBr-ZnSe-ZnSe-ZnSe-GaP-GaP,4.0
CuBr-ZnSe-ZnSe-ZnSe-ZnSe-GaAs,4.081
CuBr-ZnSe-ZnSe-ZnSe-ZnSe-GaP,4.022
CuBr-ZnSe-ZnSe-ZnSe-ZnSe-ZnSe,4.064
CuCl-CuCl-CuCl-CuCl-CuCl-CuCl,3.8
CuCl-CuCl-CuCl-CuCl-CuCl-ZnS,3.856
CuCl-CuCl-CuCl-CuCl-ZnS-ZnS,3.847
CuCl-CuCl-CuCl-ZnS-ZnS-ZnS,3.871
CuCl-CuCl-ZnS-ZnS-ZnS-ZnS,3.854
CuI-CdS-CdS-CdS-CdS-CdS,4.133
CuI-CdS-CdS-CdS-CdS-InP,4.13
CuI-CdS-CdS-CdS-InP-InP,4.147
CuI-CdS-CdS-InP-InP-InP,4.157
CuI-CdSe-CdSe-CdSe-CdSe-CdSe,4.317
CuI-CdSe-CdSe-CdSe-CdSe-InP,4.252
CuI-CdSe-InP-InP-InP-InP,4.15
CuI-CuI-CdS-CdS-CdS-InP,4.128
CuI-CuI-CdS-InP-InP-InP,4.131
CuI-CuI-CdSe-InP-InP-InP,4.1389999999999985
CuI-CuI-CuI-CdS-CdS-CdS,4.1530000000000005
CuI-CuI-CuI-CdS-CdS-InP,4.131
CuI-CuI-CuI-CdS-InP-InP,4.106
CuI-CuI-CuI-CdSe-CdSe-CdSe,4.276
CuI-CuI-CuI-CdSe-CdSe-InP,4.1930000000000005
CuI-CuI-CuI-CdSe-InP-InP,4.135
CuI-CuI-CuI-CuI-CdS-CdS,4.1789999999999985
CuI-CuI-CuI-CuI-CdS-InP,4.13
CuI-CuI-CuI-CuI-CdSe-CdSe,4.266
CuI-CuI-CuI-CuI-CdSe-InP,4.159
CuI-CuI-CuI-CuI-CuI-CdS,4.211
CuI-CuI-CuI-CuI-CuI-CdSe,4.258
CuI-CuI-CuI-CuI-CuI-CuI,4.27
CuI-CuI-CuI-CuI-CuI-InP,4.091
CuI-CuI-CuI-CuI-CuI-ZnTe,4.317
CuI-CuI-CuI-CuI-InP-InP,4.002
CuI-CuI-CuI-CuI-ZnTe-CdSe,4.3039999999999985
CuI-CuI-CuI-CuI-ZnTe-InP,4.217
CuI-CuI-CuI-InP-InP-InP,4.138
CuI-CuI-CuI-ZnTe-CdSe-CdSe,4.319
CuI-CuI-CuI-ZnTe-CdSe-InP,4.246
CuI-CuI-CuI-ZnTe-InP-InP,4.187
CuI-CuI-CuI-ZnTe-ZnTe-CdSe,4.32
CuI-CuI-CuI-ZnTe-ZnTe-InP,4.242
CuI-CuI-CuI-ZnTe-ZnTe-ZnTe,4.349
CuI-CuI-InP-InP-InP-InP,4.132
CuI-CuI-ZnTe-CdSe-CdSe-CdSe,4.34
CuI-CuI-ZnTe-CdSe-CdSe-InP,4.268
CuI-CuI-ZnTe-InP-InP-InP,4.174
CuI-CuI-ZnTe-ZnTe-CdSe-CdSe,4.346
CuI-CuI-ZnTe-ZnTe-CdSe-InP,4.277
CuI-CuI-ZnTe-ZnTe-InP-InP,4.224
CuI-CuI-ZnTe-ZnTe-ZnTe-InP,4.265
CuI-CuI-ZnTe-ZnTe-ZnTe-ZnTe,4.3660000000000005
CuI-InP-InP-InP-InP-InP,4.138
CuI-ZnTe-CdSe-CdSe-CdSe-CdSe,4.347
CuI-ZnTe-CdSe-CdSe-CdSe-InP,4.287
CuI-ZnTe-CdSe-CdSe-InP-InP,4.258
CuI-ZnTe-CdSe-InP-InP-InP,4.211
CuI-ZnTe-InP-InP-InP-InP,4.162
CuI-ZnTe-ZnTe-CdSe-CdSe-CdSe,4.351
CuI-ZnTe-ZnTe-CdSe-InP-InP,4.175
CuI-ZnTe-ZnTe-ZnTe-InP-InP,4.246
CuI-ZnTe-ZnTe-ZnTe-ZnTe-CdSe,4.3439999999999985
CuI-ZnTe-ZnTe-ZnTe-ZnTe-InP,4.282
CuI-ZnTe-ZnTe-ZnTe-ZnTe-ZnTe,4.372
GaAs-CdS-CdS-CdS-CdS-CdS,4.215
GaAs-GaAs-CdS-CdS-CdS-CdS,4.182
GaAs-GaAs-GaAs-CdS-CdS-CdS,4.15
GaAs-GaAs-GaAs-GaAs-CdS-CdS,4.123
GaAs-GaAs-GaAs-GaAs-GaAs-CdS,4.095
GaAs-GaAs-GaAs-GaAs-GaAs-GaAs,4.049
GaN-GaN-GaN-GaN-GaN-GaN,3.214
GaP-GaP-GaP-GaP-GaP-GaP,3.877
GaSb-CdSe-CdSe-CdSe-CdSe-CdSe,4.4110000000000005
GaSb-CdSe-CdSe-CdSe-CdSe-InAs,4.395
GaSb-CdSe-CdSe-InAs-InAs-InAs,4.378
GaSb-CdSe-InAs-InAs-InAs-InAs,4.377
GaSb-GaSb-CdSe-CdSe-CdSe-CdSe,4.404
GaSb-GaSb-CdSe-CdSe-CdSe-InAs,4.394
GaSb-GaSb-CdSe-InAs-InAs-InAs,4.38
GaSb-GaSb-GaSb-CdSe-CdSe-CdSe,4.4
GaSb-GaSb-GaSb-CdSe-CdSe-InAs,4.39
GaSb-GaSb-GaSb-CdSe-InAs-InAs,4.386
GaSb-GaSb-GaSb-GaSb-CdSe-CdSe,4.396
GaSb-GaSb-GaSb-GaSb-CdSe-InAs,4.395
GaSb-GaSb-GaSb-GaSb-GaSb-CdSe,4.394
GaSb-GaSb-GaSb-GaSb-InAs-InAs,4.374
GaSb-GaSb-GaSb-InAs-InAs-InAs,4.485
GaSb-GaSb-InAs-InAs-InAs-InAs,4.369
InAs-InAs-InAs-InAs-InAs-InAs,4.502
InN-InN-InN-InN-InN-InN,3.58
InP-InP-InP-InP-InP-InP,4.284
InSb-InSb-InSb-InSb-InSb-InSb,4.675
MgS-AlAs-AlAs-AlAs-AlAs-AlAs,4.065
MgS-AlAs-AlAs-AlAs-AlAs-GaAs,4.067
MgS-AlAs-AlAs-AlAs-AlAs-ZnSe,4.067
MgS-AlAs-AlAs-AlAs-CuBr-CuBr,4.041
MgS-AlAs-AlAs-AlAs-CuBr-ZnSe,4.075
MgS-AlAs-AlAs-AlAs-GaAs-GaAs,4.069
MgS-AlAs-AlAs-AlAs-ZnSe-GaAs,4.086
MgS-AlAs-AlAs-AlAs-ZnSe-ZnSe,4.064
MgS-AlAs-AlAs-CuBr-CuBr-CuBr,4.0280000000000005
MgS-AlAs-AlAs-CuBr-CuBr-ZnSe,4.066
MgS-AlAs-AlAs-CuBr-GaAs-GaAs,4.103
MgS-AlAs-AlAs-CuBr-ZnSe-GaAs,4.118
MgS-AlAs-AlAs-ZnSe-GaAs-GaAs,4.09
MgS-AlAs-AlAs-ZnSe-ZnSe-GaAs,4.097
MgS-AlAs-AlAs-ZnSe-ZnSe-ZnSe,4.065
MgS-AlAs-CuBr-CuBr-CuBr-CuBr,4.019
MgS-AlAs-CuBr-CuBr-CuBr-GaAs,4.114
MgS-AlAs-CuBr-CuBr-CuBr-ZnSe,4.0680000000000005
MgS-AlAs-CuBr-CuBr-ZnSe-GaAs,4.112
MgS-AlAs-CuBr-CuBr-ZnSe-ZnSe,4.067
MgS-AlAs-CuBr-GaAs-GaAs-GaAs,4.032
MgS-AlAs-CuBr-ZnSe-ZnSe-GaAs,4.11
MgS-AlAs-GaAs-GaAs-GaAs-GaAs,4.074
MgS-AlAs-ZnSe-GaAs-GaAs-GaAs,4.096
MgS-AlAs-ZnSe-ZnSe-GaAs-GaAs,4.096
MgS-AlAs-ZnSe-ZnSe-ZnSe-GaAs,4.097
MgS-AlAs-ZnSe-ZnSe-ZnSe-ZnSe,4.0680000000000005
MgS-AlP-AlP-AlP-AlP-AlP,3.929
MgS-AlP-AlP-AlP-AlP-GaP,3.93
MgS-AlP-AlP-AlP-AlP-ZnSe,3.945
MgS-AlP-AlP-AlP-CuBr-CuBr,3.806
MgS-AlP-AlP-AlP-CuBr-GaP,3.975
MgS-AlP-AlP-AlP-CuBr-ZnSe,3.95
MgS-AlP-AlP-AlP-GaP-GaP,3.929
MgS-AlP-AlP-AlP-ZnSe-GaP,3.968
MgS-AlP-AlP-CuBr-CuBr-CuBr,3.839
MgS-AlP-AlP-CuBr-CuBr-ZnSe,3.959
MgS-AlP-AlP-CuBr-GaP-GaP,3.955
MgS-AlP-AlP-CuBr-ZnSe-GaP,3.99
MgS-AlP-AlP-CuBr-ZnSe-ZnSe,3.983
MgS-AlP-AlP-GaP-GaP-GaP,3.929
MgS-AlP-AlP-ZnSe-GaP-GaP,3.968
MgS-AlP-AlP-ZnSe-ZnSe-GaP,4.005
MgS-AlP-CuBr-CuBr-CuBr-CuBr,3.907
MgS-AlP-CuBr-CuBr-CuBr-GaP,4.018
MgS-AlP-CuBr-CuBr-CuBr-ZnSe,3.983
MgS-AlP-CuBr-CuBr-ZnSe-GaP,4.017
MgS-AlP-CuBr-CuBr-ZnSe-ZnSe,4.001
MgS-AlP-CuBr-ZnSe-ZnSe-GaP,4.02
MgS-AlP-CuBr-ZnSe-ZnSe-ZnSe,4.0139999999999985
MgS-AlP-GaP-GaP-GaP-GaP,3.926
MgS-AlP-ZnSe-GaP-GaP-GaP,3.971
MgS-AlP-ZnSe-ZnSe-GaP-GaP,4.004
MgS-AlP-ZnSe-ZnSe-ZnSe-GaP,4.029
MgS-AlP-ZnSe-ZnSe-ZnSe-ZnSe,4.0310000000000015
MgS-BeTe-AlAs-AlAs-AlAs-AlAs,4.042
MgS-BeTe-AlAs-AlAs-AlAs-ZnSe,4.05
MgS-BeTe-AlAs-AlAs-CuBr-CuBr,3.981
MgS-BeTe-AlAs-AlAs-CuBr-GaAs,4.085
MgS-BeTe-AlAs-AlAs-CuBr-ZnSe,4.03
MgS-BeTe-AlAs-AlAs-GaAs-GaAs,4.049
MgS-BeTe-AlAs-AlAs-ZnSe-GaAs,4.069
MgS-BeTe-AlAs-AlAs-ZnSe-ZnSe,4.047
MgS-BeTe-AlAs-CuBr-CuBr-CuBr,3.987
MgS-BeTe-AlAs-CuBr-CuBr-GaAs,4.089
MgS-BeTe-AlAs-CuBr-CuBr-ZnSe,3.993
MgS-BeTe-AlAs-CuBr-GaAs-GaAs,4.0139999999999985
MgS-BeTe-AlAs-CuBr-ZnSe-GaAs,4.064
MgS-BeTe-AlAs-CuBr-ZnSe-ZnSe,4.027
MgS-BeTe-AlAs-GaAs-GaAs-GaAs,4.042
MgS-BeTe-AlAs-ZnSe-ZnSe-GaAs,4.0760000000000005
MgS-BeTe-AlAs-ZnSe-ZnSe-ZnSe,4.05
MgS-BeTe-AlP-AlP-AlP-AlP,3.961
MgS-BeTe-AlP-AlP-AlP-CuBr,3.884
MgS-BeTe-AlP-AlP-AlP-GaP,3.961
MgS-BeTe-AlP-AlP-CuBr-CuBr,3.907
MgS-BeTe-AlP-AlP-CuBr-GaP,3.973
MgS-BeTe-AlP-AlP-ZnSe-GaP,3.976
MgS-BeTe-AlP-AlP-ZnSe-ZnSe,3.979
MgS-BeTe-AlP-CuBr-CuBr-CuBr,3.915
MgS-BeTe-AlP-CuBr-CuBr-GaP,4.003
MgS-BeTe-AlP-CuBr-CuBr-ZnSe,3.978
MgS-BeTe-AlP-CuBr-GaP-GaP,3.944
MgS-BeTe-AlP-CuBr-ZnSe-GaP,3.98
MgS-BeTe-AlP-CuBr-ZnSe-ZnSe,3.982
MgS-BeTe-AlP-GaP-GaP-GaP,3.96
MgS-BeTe-AlP-ZnSe-ZnSe-GaP,4.008
MgS-BeTe-AlP-ZnSe-ZnSe-ZnSe,4.013
MgS-BeTe-BeTe-AlAs-AlAs-AlAs,4.027
MgS-BeTe-BeTe-AlAs-AlAs-CuBr,4.004
MgS-BeTe-BeTe-AlAs-AlAs-GaAs,4.03
MgS-BeTe-BeTe-AlAs-AlAs-ZnSe,4.035
MgS-BeTe-BeTe-AlAs-CuBr-CuBr,3.968
MgS-BeTe-BeTe-AlAs-CuBr-GaAs,4.062
MgS-BeTe-BeTe-AlAs-GaAs-GaAs,4.0280000000000005
MgS-BeTe-BeTe-AlAs-ZnSe-GaAs,4.058
MgS-BeTe-BeTe-AlAs-ZnSe-ZnSe,4.039
MgS-BeTe-BeTe-AlP-AlP-CuBr,3.918
MgS-BeTe-BeTe-AlP-AlP-GaP,3.95
MgS-BeTe-BeTe-AlP-AlP-ZnSe,3.97
MgS-BeTe-BeTe-AlP-CuBr-CuBr,3.955
MgS-BeTe-BeTe-AlP-CuBr-ZnSe,3.969
MgS-BeTe-BeTe-AlP-GaP-GaP,3.946
MgS-BeTe-BeTe-AlP-ZnSe-GaP,3.996
MgS-BeTe-BeTe-AlP-ZnSe-ZnSe,4.003
MgS-BeTe-BeTe-BeTe-AlAs-AlAs,4.018
MgS-BeTe-BeTe-BeTe-AlAs-CuBr,3.98
MgS-BeTe-BeTe-BeTe-AlAs-GaAs,4.023
MgS-BeTe-BeTe-BeTe-AlAs-ZnSe,4.027
MgS-BeTe-BeTe-BeTe-AlP-AlP,3.969
MgS-BeTe-BeTe-BeTe-AlP-CuBr,3.945
MgS-BeTe-BeTe-BeTe-AlP-GaP,3.971
MgS-BeTe-BeTe-BeTe-AlP-ZnSe,3.991
MgS-BeTe-BeTe-BeTe-BeTe-AlAs,4.015
MgS-BeTe-BeTe-BeTe-BeTe-AlP,3.991
MgS-BeTe-BeTe-BeTe-BeTe-BeTe,3.988
MgS-BeTe-BeTe-BeTe-BeTe-CuBr,4.013
MgS-BeTe-BeTe-BeTe-BeTe-GaP,3.998
MgS-BeTe-BeTe-BeTe-BeTe-ZnSe,4.01
MgS-BeTe-BeTe-BeTe-CuBr-CuBr,3.97
MgS-BeTe-BeTe-BeTe-CuBr-GaAs,4.055
MgS-BeTe-BeTe-BeTe-CuBr-GaP,4.0310000000000015
MgS-BeTe-BeTe-BeTe-GaP-GaP,3.971
MgS-BeTe-BeTe-BeTe-ZnSe-GaAs,4.044
MgS-BeTe-BeTe-BeTe-ZnSe-GaP,4.02
MgS-BeTe-BeTe-BeTe-ZnSe-ZnSe,4.019
MgS-BeTe-BeTe-CuBr-CuBr-CuBr,3.944
MgS-BeTe-BeTe-CuBr-CuBr-GaAs,4.059
MgS-BeTe-BeTe-CuBr-CuBr-GaP,4.04
MgS-BeTe-BeTe-CuBr-CuBr-ZnSe,4.0139999999999985
MgS-BeTe-BeTe-CuBr-GaAs-GaAs,3.885
MgS-BeTe-BeTe-CuBr-GaP-GaP,3.917
MgS-BeTe-BeTe-CuBr-ZnSe-GaP,4.039
MgS-BeTe-BeTe-CuBr-ZnSe-ZnSe,4.043
MgS-BeTe-BeTe-GaAs-GaAs-GaAs,4.023
MgS-BeTe-BeTe-GaP-GaP-GaP,3.944
MgS-BeTe-BeTe-ZnSe-GaP-GaP,3.998
MgS-BeTe-BeTe-ZnSe-ZnSe-GaAs,4.058
MgS-BeTe-BeTe-ZnSe-ZnSe-GaP,4.0310000000000015
MgS-BeTe-CuBr-CuBr-CuBr-CuBr,3.979
MgS-BeTe-CuBr-CuBr-CuBr-GaAs,4.0760000000000005
MgS-BeTe-CuBr-CuBr-CuBr-GaP,4.048
MgS-BeTe-CuBr-CuBr-CuBr-ZnSe,4.018
MgS-BeTe-CuBr-CuBr-GaP-GaP,3.896
MgS-BeTe-CuBr-CuBr-ZnSe-GaAs,4.034
MgS-BeTe-CuBr-CuBr-ZnSe-GaP,4.03
MgS-BeTe-CuBr-GaAs-GaAs-GaAs,3.933
MgS-BeTe-CuBr-GaP-GaP-GaP,3.87
MgS-BeTe-CuBr-ZnSe-GaAs-GaAs,4.006
MgS-BeTe-CuBr-ZnSe-GaP-GaP,3.845
MgS-BeTe-CuBr-ZnSe-ZnSe-GaAs,4.109
MgS-BeTe-CuBr-ZnSe-ZnSe-GaP,4.0680000000000005
MgS-BeTe-CuBr-ZnSe-ZnSe-ZnSe,4.058
MgS-BeTe-GaAs-GaAs-GaAs-GaAs,4.032
MgS-BeTe-GaP-GaP-GaP-GaP,3.92
MgS-BeTe-ZnSe-GaAs-GaAs-GaAs,4.065
MgS-BeTe-ZnSe-GaP-GaP-GaP,3.977
MgS-BeTe-ZnSe-ZnSe-GaAs-GaAs,4.069
MgS-BeTe-ZnSe-ZnSe-GaP-GaP,4.012
MgS-BeTe-ZnSe-ZnSe-ZnSe-GaAs,4.07
MgS-BeTe-ZnSe-ZnSe-ZnSe-GaP,4.042
MgS-CuBr-CuBr-CuBr-CuBr-CuBr,4.013
MgS-CuBr-CuBr-CuBr-CuBr-GaAs,4.112
MgS-CuBr-CuBr-CuBr-CuBr-GaP,4.085
MgS-CuBr-CuBr-CuBr-CuBr-ZnSe,4.039
MgS-CuBr-CuBr-CuBr-GaAs-GaAs,3.998
MgS-CuBr-CuBr-CuBr-ZnSe-GaAs,4.0939999999999985
MgS-CuBr-CuBr-CuBr-ZnSe-ZnSe,4.021
MgS-CuBr-CuBr-GaAs-GaAs-GaAs,3.992
MgS-CuBr-CuBr-GaP-GaP-GaP,3.912
MgS-CuBr-CuBr-ZnSe-GaAs-GaAs,4.064
MgS-CuBr-CuBr-ZnSe-GaP-GaP,3.987
MgS-CuBr-CuBr-ZnSe-ZnSe-GaAs,4.09
MgS-CuBr-CuBr-ZnSe-ZnSe-GaP,4.06
MgS-CuBr-CuBr-ZnSe-ZnSe-ZnSe,4.029
MgS-CuBr-GaAs-GaAs-GaAs-GaAs,4.01
MgS-CuBr-GaP-GaP-GaP-GaP,3.896
MgS-CuBr-ZnSe-GaAs-GaAs-GaAs,4.041
MgS-CuBr-ZnSe-ZnSe-GaAs-GaAs,4.066
MgS-CuBr-ZnSe-ZnSe-GaP-GaP,4.01
MgS-CuBr-ZnSe-ZnSe-ZnSe-GaAs,4.077
MgS-CuBr-ZnSe-ZnSe-ZnSe-GaP,4.06
MgS-GaAs-GaAs-GaAs-GaAs-GaAs,4.082
MgS-MgS-AlAs-AlAs-AlAs-AlAs,4.069
MgS-MgS-AlAs-AlAs-AlAs-CuBr,4.0539999999999985
MgS-MgS-AlAs-AlAs-AlAs-GaAs,4.0710000000000015
MgS-MgS-AlAs-AlAs-AlAs-ZnSe,4.075
MgS-MgS-AlAs-AlAs-CuBr-GaAs,4.13
MgS-MgS-AlAs-AlAs-CuBr-ZnSe,4.073
MgS-MgS-AlAs-AlAs-ZnSe-GaAs,4.092
MgS-MgS-AlAs-AlAs-ZnSe-ZnSe,4.073
MgS-MgS-AlAs-CuBr-CuBr-CuBr,4.02
MgS-MgS-AlAs-CuBr-CuBr-GaAs,4.122
MgS-MgS-AlAs-CuBr-GaAs-GaAs,4.075
MgS-MgS-AlAs-GaAs-GaAs-GaAs,4.0760000000000005
MgS-MgS-AlAs-ZnSe-GaAs-GaAs,4.105
MgS-MgS-AlAs-ZnSe-ZnSe-GaAs,4.1
MgS-MgS-AlAs-ZnSe-ZnSe-ZnSe,4.073
MgS-MgS-AlP-AlP-AlP-AlP,3.958
MgS-MgS-AlP-AlP-AlP-CuBr,3.933
MgS-MgS-AlP-AlP-AlP-GaP,3.959
MgS-MgS-AlP-AlP-CuBr-CuBr,3.936
MgS-MgS-AlP-AlP-CuBr-GaP,4.018
MgS-MgS-AlP-AlP-GaP-GaP,3.959
MgS-MgS-AlP-AlP-ZnSe-GaP,4.001
MgS-MgS-AlP-CuBr-CuBr-GaP,4.034
MgS-MgS-AlP-CuBr-CuBr-ZnSe,3.996
MgS-MgS-AlP-CuBr-GaP-GaP,3.978
MgS-MgS-AlP-CuBr-ZnSe-GaP,4.016
MgS-MgS-AlP-CuBr-ZnSe-ZnSe,4.008
MgS-MgS-AlP-GaP-GaP-GaP,3.958
MgS-MgS-AlP-ZnSe-GaP-GaP,4.008
MgS-MgS-AlP-ZnSe-ZnSe-GaP,4.035
MgS-MgS-BeTe-AlAs-AlAs-AlAs,4.051
MgS-MgS-BeTe-AlAs-AlAs-CuBr,4.0
MgS-MgS-BeTe-AlAs-AlAs-ZnSe,4.053
MgS-MgS-BeTe-AlAs-CuBr-GaAs,4.084
MgS-MgS-BeTe-AlAs-CuBr-ZnSe,4.02
MgS-MgS-BeTe-AlAs-GaAs-GaAs,4.049
MgS-MgS-BeTe-AlAs-ZnSe-GaAs,4.081
MgS-MgS-BeTe-AlAs-ZnSe-ZnSe,4.0539999999999985
MgS-MgS-BeTe-AlP-AlP-AlP,3.965
MgS-MgS-BeTe-AlP-AlP-CuBr,3.916
MgS-MgS-BeTe-AlP-AlP-GaP,3.967
MgS-MgS-BeTe-AlP-AlP-ZnSe,3.983
MgS-MgS-BeTe-AlP-CuBr-CuBr,3.948
MgS-MgS-BeTe-AlP-GaP-GaP,3.961
MgS-MgS-BeTe-AlP-ZnSe-GaP,4.016
MgS-MgS-BeTe-AlP-ZnSe-ZnSe,4.016
MgS-MgS-BeTe-BeTe-AlAs-GaAs,4.041
MgS-MgS-BeTe-BeTe-AlAs-ZnSe,4.043
MgS-MgS-BeTe-BeTe-AlP-CuBr,3.943
MgS-MgS-BeTe-BeTe-AlP-GaP,3.989
MgS-MgS-BeTe-BeTe-AlP-ZnSe,4.004
MgS-MgS-BeTe-BeTe-BeTe-AlAs,4.029
MgS-MgS-BeTe-BeTe-BeTe-AlP,4.004
MgS-MgS-BeTe-BeTe-BeTe-BeTe,3.993
MgS-MgS-BeTe-BeTe-BeTe-CuBr,4.011
MgS-MgS-BeTe-BeTe-BeTe-GaP,4.011
MgS-MgS-BeTe-BeTe-BeTe-ZnSe,4.018
MgS-MgS-BeTe-BeTe-CuBr-CuBr,3.96
MgS-MgS-BeTe-BeTe-CuBr-GaAs,4.072
MgS-MgS-BeTe-BeTe-CuBr-ZnSe,4.039
MgS-MgS-BeTe-BeTe-GaAs-GaAs,4.037
MgS-MgS-BeTe-BeTe-GaP-GaP,3.985
MgS-MgS-BeTe-BeTe-ZnSe-GaP,4.032
MgS-MgS-BeTe-BeTe-ZnSe-ZnSe,4.027
MgS-MgS-BeTe-CuBr-CuBr-CuBr,3.935
MgS-MgS-BeTe-CuBr-CuBr-GaAs,4.077
MgS-MgS-BeTe-CuBr-CuBr-GaP,4.05
MgS-MgS-BeTe-CuBr-CuBr-ZnSe,4.027
MgS-MgS-BeTe-CuBr-GaAs-GaAs,3.887
MgS-MgS-BeTe-CuBr-GaP-GaP,3.926
MgS-MgS-BeTe-CuBr-ZnSe-GaAs,4.115
MgS-MgS-BeTe-CuBr-ZnSe-GaP,4.0539999999999985
MgS-MgS-BeTe-CuBr-ZnSe-ZnSe,4.05
MgS-MgS-BeTe-GaAs-GaAs-GaAs,4.041
MgS-MgS-BeTe-ZnSe-GaAs-GaAs,4.072
MgS-MgS-BeTe-ZnSe-GaP-GaP,4.0139999999999985
MgS-MgS-BeTe-ZnSe-ZnSe-GaAs,4.0710000000000015
MgS-MgS-BeTe-ZnSe-ZnSe-GaP,4.044
MgS-MgS-BeTe-ZnSe-ZnSe-ZnSe,4.037
MgS-MgS-CuBr-CuBr-CuBr-CuBr,3.991
MgS-MgS-CuBr-CuBr-CuBr-GaAs,4.087
MgS-MgS-CuBr-CuBr-CuBr-GaP,4.0680000000000005
MgS-MgS-CuBr-CuBr-CuBr-ZnSe,4.034
MgS-MgS-CuBr-CuBr-GaAs-GaAs,4.0
MgS-MgS-CuBr-CuBr-ZnSe-GaAs,4.087
MgS-MgS-CuBr-CuBr-ZnSe-GaP,4.047
MgS-MgS-CuBr-CuBr-ZnSe-ZnSe,4.024
MgS-MgS-CuBr-GaAs-GaAs-GaAs,4.004
MgS-MgS-CuBr-GaP-GaP-GaP,3.925
MgS-MgS-CuBr-ZnSe-GaAs-GaAs,4.058
MgS-MgS-CuBr-ZnSe-ZnSe-GaAs,4.079
MgS-MgS-CuBr-ZnSe-ZnSe-GaP,4.053
MgS-MgS-CuBr-ZnSe-ZnSe-ZnSe,4.032
MgS-MgS-GaAs-GaAs-GaAs-GaAs,4.085
MgS-MgS-GaP-GaP-GaP-GaP,3.964
MgS-MgS-MgS-AlAs-AlAs-AlAs,4.073
MgS-MgS-MgS-AlAs-AlAs-CuBr,4.048
MgS-MgS-MgS-AlAs-AlAs-GaAs,4.075
MgS-MgS-MgS-AlAs-AlAs-ZnSe,4.082
