mpid,formula,mu_b
mp-1094464,Mg3Zn,6e-07
mp-1028116,CaMg14Mo,1.5889972
mp-999461,NaPrSe2,-0.0
mp-769450,Li9Mn15O32,50.000001
mp-1008554,Al3V,0.26433840000000003
mp-1097573,NaTl2Pt,0.0005531000000000001
mp-767482,Li6ScFe5(SiO3)12,24.9966554
mp-1078362,Ca2AlPt2,7.68e-05
mp-962068,CaMgSn,0.0001551
mp-779366,LiCr(PO3)4,12.000401
mp-865783,YbHoRh2,1.5e-06
mp-557635,Sb2TeSeF10,0.0013625
mp-2840,PuIr2,-0.0618531
mp-20709,Ba2ScSbO6,0.0012303
mp-676110,Tb14(PbSe8)3,-4.19e-05
mp-769515,Na2FePCO7,19.9999997
mp-31442,Li2InRh,3.34e-05
mvc-9090,Si2Bi13(SbO14)2,0.9963793
mp-1472,ZrB2,3e-07
mp-779951,Na2Ni2O3,7.999948
mp-768295,Ba2YI7,-0.0023382
mp-704189,CoPO4,48.0031448
mp-616869,Cs7Fe4F15,32.0000409
mp-776479,BaYI5,-0.0072092
mp-763146,Li4Ti2Co3Ni3O16,10.998997
mp-754334,NaTmO2,-3.7000000000000006e-06
mp-744711,ZnCrH28C6N12Cl5O8,5.9954469
mp-22180,Dy(GePd)2,0.0006571000000000001
mp-6226,NaSn4(PO4)3,-4.08e-05
mp-510001,Ca2Ni7P4,0.0
mp-624620,CsMnF3,29.999997
mp-1026625,Mg14SnBi,0.002294
mp-558068,Tl(MoO3)3,2.000942
mp-27473,Sb2TeF14,-2.78e-05
mp-995198,CO2,0.0018361
mp-7012,KRb2YF6,0.0
mp-17177,Nb2ZnO6,0.0002436
mp-769513,Li4Ti3Mn6O18,44.0002798
mp-738611,LiAsH20(C2O)4,4.00289
mp-780883,Mn3(OF2)2,26.0015736
mp-10677,CaPAu,6.8e-06
mp-611471,CaMnSn,7.8004864
mvc-10492,CaCu2(MoO4)2,-0.0
mvc-13301,Sr2YSn2O7,9.2e-06
mp-4952,La2MgNi2,-6.500000000000001e-05
mp-695772,Mo(PO3)4,4.0000002
mp-777088,LiV2OF5,8.000051
mp-867249,TaAlFe2,1.8e-06
mp-758223,Bi11PO20,-0.0627867
mp-15919,BeAgPO4,-0.0002451
mp-1026479,Mg14MoC,0.1644396
mp-676168,Ag8GeTe6,0.0033512
mp-554971,ZrFeF6,4.0001394
mp-777523,Li32Ti3Cr13O48,25.99923930000001
mp-573044,SmBeF4,3.8384201
mp-983594,Al3Ga,5.03e-05
mp-1093787,Y2AgAu,2.0
mp-1037298,Mg30FeCuO32,5.000001599999999
mvc-7877,CaFeBiO5,23.8511111
mp-1019727,NaEuGeO4,23.9999993
mvc-10960,MgVBiO5,-0.0015806
mp-1159,Zr2Fe,-2.51e-05
mp-1028108,BaCaMg14,-2.4e-06
mp-1030657,NaNbN2,0.0
mvc-1296,Ba2YCr3O7,10.9866744
mp-773081,Li3Ti6Zn3O16,1.5931934
mvc-12919,Mg(FeO2)4,8.6080452
mp-989556,Cs2NaPbF6,0.7286465999999999
mp-754239,ScGaO3,0.0004004
mp-975920,PrSmTl2,3.43e-05
mp-11204,Tm6FeSb2,0.0038197
mp-776786,VOF,15.9999924
mp-647814,U2O5,16.0261709
mp-1031616,Mg6CrNiO8,4.0097732000000015
mvc-2430,ZnSnO2,0.0
mp-2233,Th2Ag,-4.41e-05
mp-1031634,Mg6VCrO8,7.0018923
mp-1016620,Mg6CrBi,8.2450003
mp-775400,NaMnPCO7,11.9993661
mp-759823,LiCuPO4,12.0000042
mp-620714,Ba2V3O9,1.9997145
mp-862795,CaLaAg2,0.0007326
mp-35822,Li4SiO4,-9.11e-05
mp-554003,Sr4Li(BO3)3,0.003360800000000001
mp-982615,Pm2InAg,0.0151199
mp-19555,RbMo2P3O13,8.000024400000001
mp-1080774,Ga2O3,3.9e-06
mp-773949,Mn2CrO4,17.9999999
mp-11401,ScGa2Ni,-4.17e-05
mp-754210,Li6FeS4,8.0010419
mvc-2240,CaP4WO12,8.0109973
mp-1095158,HfGaCo,0.0004521
mp-10931,HoSF,-0.0002071
mp-25103,K2NiPb(NO2)6,1.9998156
mp-560357,MnClO3,-0.0001758
mp-35907,La5TlTe8,1.63e-05
mp-1023265,CaMg6Sn,0.0090503
mp-766723,CoTe2O5,11.9994715
mp-504563,BaFe2Se3,-0.0053283
mp-30696,Cd5Cu2,2.63e-05
mp-763849,Li(FeO2)3,-4.0000002
mp-1028947,MoW3(SeS)4,-0.0
mp-541467,CoP2PbO7,12.0395999
mp-636946,Fe6Ge5,18.693793300000006
mp-1028434,TeMoWSe3,0.0
mvc-16089,ZnCu2SnSe4,-7.000000000000003e-06
mp-540313,LiFe(PO3)3,7.9999996
mp-24728,VH2,0.00037030000000000016
mp-1066821,SN,-1.1e-06
mp-35208,NdOF,-0.0002767
mp-1033378,Mg6CrBiO8,5.0572834
mp-849388,V2O3F,6.0000004
mp-541909,Zr2(NiP)3,1.2e-06
mp-1023497,Mg15C,0.0043494
mp-770811,Si2As2O7,-0.0002379
mp-9632,CsReF6,2.0000001
mp-780827,FeOF,40.0063261
mp-1021377,Mg6SnBi,0.0074905
mp-998929,K2O,-0.0003953
mp-559395,KLuP2O7,8.1e-05
mp-865511,VCl4,3.9999179
mp-778774,Li4MnH6(S2O9)2,20.0059305
mp-32309,Sr4Re2NiO12,1.9999748
mp-6585,CaMgB2O5,-2e-07
mp-765900,Ti6Co3O16,22.0017289
mp-13964,HfGeTe,7e-07
mp-6610,K3Cu(CN)4,-5.290000000000001e-05
mp-1030827,Te2Mo3W(Se2S)2,0.0
mp-1076054,BaSr7Co4(CuO6)4,16.0632935
mp-1019744,K2Al2Si3O10,0.0010613
mp-15887,Sr2YIrO6,-0.0042458
mp-583084,Rb3Er3(PS4)4,-0.0008990000000000002
mp-566695,NdSbMo2O9,0.005628
mvc-12347,Zn(CrS2)4,10.0206516
mp-1094418,YMg2,-0.0240327
mp-540967,K4WO5,0.0014867
mvc-10166,MgFe2(PO4)2,32.013991
mp-28261,Na4SnO3,5.1e-06
mp-555296,YbTaO4,1.9999999
mp-18801,YbV4O8,23.9999983
mp-6181,NaNb(CuS2)2,0.00025
mp-771342,Gd2P4O13,28.0007098
mp-20490,NdNiSn,3.15e-05
mp-1039856,Mg30CdSiO32,-0.0
mp-1096202,Y2PdPb,0.0025543
mp-1027981,Mg14ZnFe,-0.0087887
mp-773695,La16Mn15O48,56.999998700000006
mp-542818,BaVS3,2.2977742
mp-603694,Si3N4,4.0007467000000005
mp-771464,MnCo5O12,3.9999903
mp-1095215,K2Mg(CO3)2,5e-07
mp-1008483,CdN,1.9658114
mp-601178,H6C2NO,0.0016272000000000005
mvc-5100,Zn2CrWO6,8.0000004
mp-705785,VZn2O4,1.9999562
mp-3985,Tm(MnGe)2,4.0949649
mp-4612,TiCo2Ge,1.9999999
mp-680048,RbW3Br7,-0.009415799999999998
mp-780229,Na6Bi2B4PO16,1.7957742
mp-554641,Sr3Mg(SiO4)2,3.34e-05
mp-720861,H13ClO6,0.000727
mp-19327,LuNiO3,3.9999971
mp-851282,Cr(SO4)2,16.140778400000002
mp-29267,Sn5Sb2S9,0.0223376
mp-867918,ErPaRu2,-0.0001384
mp-738,Sb2Au,0.0002182
mp-567269,TeI4,-0.0007618
mp-760172,Na7Ti16O32,0.0486632
mp-7765,Ba3SiO5,7.94e-05
mp-21975,In4Ag9,5.39e-05
mp-1026697,NaMg14Ga,4.5e-06
mp-4729,Er(MnSi)2,3.4930308
mp-1096331,Y2InHg,3.0
mp-1028375,Mg14CoBi,0.023774700000000003
mp-1064077,FeH3,-0.032588099999999995
mp-765213,Li5V3P8O29,3.9975307
mp-765216,VF4,8.000541900000002
mp-853154,LiNbVO4,4.6976919000000015
mp-767681,Li8Cr(FeO4)3,14.0006497
mp-567060,AlSeBr3N,0.0016153
mp-766602,V4OF11,14.0000497
mp-1098962,BaMg30VO32,-1.0001981
mp-864970,MnSiTc2,1.9289184
mp-1026428,HfMg14Cd,0.0037034
mp-21057,La(GePt)2,-0.0004937
mp-570997,RuCl3,6.0
mp-29243,Ba3SnO,8.400000000000001e-06
mp-867167,LiCa2Tl,0.0001103
mp-989565,Rb2TlGaF6,-0.000462
mp-6986,Ta,-4.820000000000001e-05
mp-568891,MnSbRh,3.3644385000000003
mp-10550,SrMg2N2,0.0
mp-580744,Hf6Si7Ni16,0.004222699999999999
mp-779498,Ba3(ClO)2,0.0046046
mp-765949,VF5,0.0021449000000000004
mp-672705,YbS2,-0.0016262999999999998
mp-862905,PmGaAu2,1.85e-05
mp-865120,NaPaO3,-2.860000000000001e-05
mp-1038715,CeMg,-1.4499999999999993e-05
mp-1030618,Mg3ZrO4,0.08002050000000001
mp-861871,SeI2,0.0002414
mp-625751,MoH4O5,0.0001742
mvc-10623,BaZnWF7,12.0049356
mp-29232,ZrPb3F10,3.3e-06
mp-984743,Er2Ge5Rh3,5.870000000000001e-05
mp-6591,SrLiAlF6,0.0
mp-763860,Mn2OF3,17.9998943
mp-772052,CdSeO4,-0.0002032
mp-1094278,ZrSn,0.0136537
mp-1013552,Sr3P2,0.00014269999999999994
mp-1096381,AgSnPd2,-0.0001216
mp-744853,Mo2H5C5N3O14,32.0384048
mp-984102,Fe3H,14.8523973
mp-19083,NaVO3,-0.0003646
mp-976799,Ni3Bi,0.0042193000000000005
mp-22152,NaFeAs,0.0126217
mp-10901,Al3Pd2,-0.0001188
mp-570308,Eu(NiSb)2,6.950558900000001
mp-778415,Li32Mn3Cr13O48,34.9985504
mp-20305,InAs,-1.5e-06
mp-26301,LiBi2(PO4)3,3.6000000000000007e-06
mp-850021,NaFe11O17,77.9999559
mp-1019381,Al7Si3BO18,0.0008322000000000001
mp-13240,ScInCu4,-3e-07
mp-3998,LaTaO4,-0.000119
mp-1012435,PbS,0.0001982
mp-20991,BaPbO3,-9.28e-05
mp-2650,P4S7,-0.00033410000000000004
mp-31080,YAlSi,1.49e-05
mp-762967,Li4V3P8O29,2.0072667
mp-865930,TiZnCu2,-6e-07
mp-779545,Na3CuO2,-2.7000000000000004e-06
mp-6695,BaCdP2O7,3.76e-05
mp-1093715,TiBeAu2,2.6422162
mvc-5048,TaZn2WO6,6.0000000999999985
mp-31271,RbCO3,-0.0024489
mp-31386,HoGaPd,1.55e-05
mp-21989,Ca3Sc2(GeO4)3,0.0
mp-622785,FeSNO,47.9909355
mp-8226,ThNF,-2.5e-06
mp-17256,Rb2Hf3OF12,-0.0004977
mp-763194,LiMn2(BO3)2,17.9992557
mp-38931,Tb2SmS4,-0.000108
mp-771560,Na3VAsCO7,6.0087159
mp-780042,Li2CoOF3,15.9990848
mp-981251,TmTa3,0.00035
mp-9805,KYb(CO3)2,0.0008212
mp-625812,Sr(H2O3)2,-0.0005656000000000001
mp-505799,P2Pb3O8,0.0
mp-1093625,Ga2CuPd,2e-06
mp-554412,RbTa(PO4)2,-0.00013580000000000002
mp-505628,Cr3IrN,-6.459999999999997e-05
mvc-16141,Al2CuO4,0.6907658
mp-615993,SiO2,-0.0009687
mp-667742,SbSe5F6,0.0782609
mp-703295,SrH2I2O,-4.23e-05
mp-1030662,NaMg6SbO8,-0.0
mp-27594,As4(Pb3S5)3,0.0
mp-1097294,LiBe2Au,0.0
mp-1096238,Y2OsPd,-2e-07
mp-1098999,Mg14AlSiO16,0.9574074
mp-769426,LiCo2(PO4)2,15.9999924
mp-558745,Rb4NpS2ClO10,3.9999997000000014
mp-672261,Ce3Ru,3.1027602
mp-943492,LiFeSO4F,7.9998426999999985
mp-19304,K2MnSO4F3,16.0000027
mp-567729,La7C3I10,0.006567399999999999
mp-1036100,Mg14MnCO16,5.0000012
mp-1079066,Ta2AlC,-0.0002168
mp-905,LaF3,8e-07
mp-765446,LiCoPO4,6.000017400000001
mp-767843,Li5Mn6(BO3)6,28.9999997
mp-762684,Li2Ti(FeO3)2,30.0003604
mp-755980,SrCaI4,-0.0001656
mp-779062,Li3V4(OF3)3,15.999869
mp-772233,Li4VGa3O8,-2.0004811
mp-772850,La2Hf2O7,-0.0005650000000000001
mp-6333,NaIn(SiO3)2,-9.000000000000002e-07
mp-566323,RbLiMoO4,0.003014
mp-602267,Cs2Cr4Cd(HO4)4,6.07e-05
mp-755868,LiCu5(PO4)2,0.0017965999999999995
mp-676765,Na21In5O15,1.9959327
mp-768082,Na5Ni2P2(CO7)2,5.8598959000000015
mp-1073992,Mg6Si5,2.3e-05
mp-558375,Ce3CuSiS7,6.0234418
mp-24179,KH6C2S2NO4,9.990000000000004e-05
mp-769502,Li4Nb2Fe3O10,11.9999175
mp-740733,NaAl(H2N)4,0.3841928
mp-532178,Yb4Zr3O12,16.1955481
mvc-15155,VZnO2,7.9999997
mp-1031421,KNaMg6O7,-0.0032079
mp-768114,Li6Ti9O20,0.006718300000000001
mp-625652,H9BrO4,0.0005572999999999999
mp-766670,LiNiPO4,48.0003134
mp-7885,AlAgS2,-5.660000000000003e-05
mp-1096565,Sc2CuRh,1.4694604
mp-7903,Cs2ZrF6,0.0
mp-6474,Ba3MgNb2O9,-0.0002187
mp-559860,SiO2,0.0
mp-849675,Li5Mn6(BO3)6,58.0127314
mp-764980,LiMnF5,12.0006453
mp-707226,H8Se2N2O5,0.0024561
mp-745034,RbFeH4Cl3O2,15.9988994
mp-30083,TlBi,5e-07
mp-21806,YNi5Ge3,0.0
mp-652471,Nb2Co(P2O7)3,6.0005558
mp-542704,CsHCO2,-1e-07
mp-5540,SrB4O7,0.00012849999999999998
mp-1751,ThSb,2.93e-05
mp-541626,K3Nb3Ge2O13,0.0006922
mp-14765,Ba(Ni5P3)2,-5.2e-06
mp-1022517,RbMg6Zr,2.5598863
mp-23229,FeCl2,0.6544804
mp-530074,B4C,0.9669609
mp-541609,Y2Ge5Ir3,4.04e-05
mp-770322,Rb2PrO3,4.0438941
mp-772247,LiNbNiO4,4.0007358
mp-996984,AgClO2,1.9999636000000005
mp-7127,Ba2YbTaO6,1.0
mp-1073810,MgSi,4.2e-06
mp-975322,RbFeO3,3.918597600000001
mp-849697,LiCo3(OF3)2,23.9970838
mp-31001,KSb3O5,7.1e-06
mp-677311,Re3Pb3O10,10.9141935
mp-1072707,CaGe2,6.8e-06
mp-30808,TbNi5,-0.04768630000000002
mvc-683,Ta(WO4)2,1.9997579
mp-769792,Li4Fe5CoO12,22.9999987
mp-556377,Ba17Dy16Zn8Pt4O57,0.0094748
mp-1019596,CeZrO4,-1.99e-05
mp-973874,LiLa2Al,0.0030109000000000004
mp-1030825,Mg6CdSiO8,-0.0
mp-10651,YbSi,8e-07
mp-567026,K2Sr3Mn2(P2O7)3,20.0
mp-677127,YAl6Si18(N15O)2,0.9975399
mp-566179,VPO5,0.0002041
mp-15315,Ca4Ti3O10,-1e-07
mp-9909,Ba5Sb3,-9.5e-06
mp-619905,Ti9Se2,0.0023237
mp-23174,ReCl3,-4.870000000000001e-05
mp-1079680,CaFeO2,8.0000009
mp-8611,Li8CeO6,-5.8e-06
mp-559440,V2(CuO2)5,11.2075997
mp-864715,HfInCo2,-1.0251699
mp-1094607,Li2Mg,1e-06
mp-697451,ZnP2(HO)4,-0.0022777
mp-506,MgPd,3.26e-05
mvc-16433,CaCuP2O7,3.9998179
mp-14246,Ba(AlS2)2,-0.001141
mp-1620,Si2W,-6.7e-06
mp-530216,MgAl6O10,2.1e-06
mp-15695,YAsPt,-0.0004473
mp-766979,Sn4P2O9,0.002059
mp-768146,Na2AlPCO7,0.005435499999999999
mp-1078235,TmInPd,2.4e-06
mp-30415,PrAu2,6.3e-06
mp-8926,Li3BN2,0.0
mp-31890,Li4Fe(PO4)2,16.000000699999998
mp-997054,CuBiO2,-9.32e-05
mp-19332,BaGd2NiO5,16.0000004
mp-1077197,CeScSb,1.1324617
mp-768203,BeH2,8.2e-06
mp-1038339,Mg30AlVO32,2.9999996
mp-756424,GdLuO3,27.9999464
mp-1084850,Ni(ClO3)2,0.7938967
mp-16740,TiGePd,-0.0001426
mp-850239,Mn2V3O12,25.9698716
mp-22957,SrClF,-8.78e-05
mp-2228,ErMg,0.003520300000000001
mp-23350,Rb2PtCl6,3.950000000000001e-05
mp-772099,Cd(CuO2)2,-0.0001995
mp-1026887,Mg14CuC,-4e-07
mp-773540,Mn5Ni(PO4)6,15.027335199999998
mp-779759,LiV4OF11,16.0186664
mp-849586,V4O7F5,1.0017244
mp-780812,Fe10O9F11,49.0001119
mp-504360,Li9Cr3P8O29,17.9995876
mp-579234,VP2NCl10O,0.0140731
mp-5373,Y2Ti2O7,4.6e-06
mp-770968,Na3NiPCO7,4.0009942
mp-2836,Dy5Si3,-8.759999999999999e-05
mp-973666,KV5Se8,9.8090392
mp-853248,LiVCrO4,7.9999981
mp-862681,ErMg3,5.97e-05
mp-1163,UBe13,-3.68e-05
mp-556438,KNaSmNbO5,0.00032710000000000004
mp-562038,Sr2LuRuO6,-6.0294653
mp-30570,CrGaFe2,1.0261367
mp-849258,Li3Mn4(BO3)4,38.0089181
mp-775465,MnSb3(PO4)6,4.0016356
mp-674516,Ca3Zr17O37,-0.0097961
mp-780738,H4WNCl6,2.0011697
mp-505630,Ta2Cr4Si5,-0.0274378
mp-976118,HgH6I3NO,0.0063921
mp-1093851,ZrBe2Pt,2.8410349
mvc-10947,Al(FeO2)2,17.9999987
mp-767303,Li2Mn(SiO3)2,9.999132199999998
mp-19219,Li3VO4,-0.0001032
mp-1026518,Mg14GaMo,1.3635288
mp-14968,Dy2Ru2O7,7.9999996
mp-1025500,ZnCu2SnS4,-0.0
mp-775597,Li3Cr2(PO4)3,23.9998024
mp-687096,V2Cu2O7,3.8966698
mp-1097179,ZnSiTc2,6.4655190000000005
mp-761143,KLiSb(PO4)2,1.0033055
mp-680697,Ce6Si4S17,11.9998403
mp-583630,Ba2SnTe5,-0.0033506
mvc-10447,MgV4O9,7.9990857
mp-504909,Ni2SnP,1.96e-05
mp-705665,Nd4Mo31O56,77.99997619999998
mp-21536,Ni2Mo4C,-1.1e-06
mp-696497,Mg3Si4(HO6)2,5.400000000000002e-06
mvc-9952,ZnCr2O4,35.9667148
mp-4864,CaMgSn,-3.3e-06
mp-19648,Y3Fe5O12,99.999725
mp-4409,Cu(RhO2)2,0.071806
mp-764595,Na2V2O5,7.9953477
mp-867980,K4(S2O3)5,22.8215027
mp-867147,BaNaHg2,0.0001989
mp-626569,Ti3H2O7,-3.4e-05
mp-779264,Cs2HfO3,0.0007829
mp-23759,SrH2,4.52e-05
mp-567853,PuPt4,-4.5322237
mp-23777,H8C3SN(OF)3,0.006489699999999999
mp-765702,Mn6O7F5,23.0025087
mp-995237,SiH6CI3N,-0.0031161
mp-561176,Sb2POF13,0.0003861
mvc-9967,CaCr2O4,35.9461937
mp-23215,ThCl4,0.0005809
mp-761385,LiCrPO4,15.999270999999998
mp-754537,LiLuO2,-1.56e-05
mp-28888,Cu(PtS2)2,-0.0004053999999999999
mp-561738,Ba2NiMoO6,2.0000004
mp-1092301,La(GaPd)2,-2.6e-06
mp-1031550,Mg6SnCO8,0.2192843
mp-28770,Ca2FeN2,3.9999999
mp-761629,Li17V16O32,32.9975443
mp-647252,ZnAu2(CN)4,-9.78e-05
mp-1025281,Ti2NiSe4,4.1e-06
mp-703682,GdMn2O5,56.0000019
mp-771466,Li2Cr2O7,0.0
mp-1075337,Mg3Si4,3.6000000000000007e-06
mp-859784,LiV2O3F,15.9983393
mp-779738,Hf2N2O,-0.0005457999999999999
mp-763112,Li4Co3Cu3(WO8)2,6.9102689
mp-863657,PmCl2,0.5060332000000001
mp-571527,Cs2LiInCl6,0.0012391
mp-761783,Li5Co2Cu3O10,1.9999776
mp-12678,TaMn2,0.0457328
mp-31529,CoP2O7,4.9999999000000015
mp-603285,Cs2Cr4Cu(HO4)4,1.0021934
mp-769381,Ca3Ta2O8,-0.0002184
mvc-16251,Al2CoO4,17.9237794
mp-754323,TmBiO3,4.64e-05
mp-15269,Sr3CdIrO6,-0.0010941
mp-33325,Mg(FeO2)2,79.99999229999997
mp-733577,TiH2N2OF4,16.1848466
mp-985707,CoSn3,-0.0107547
mp-29251,Te6Br2O11,0.0
mp-778572,Li2VFeP2(O4F)2,3.0000002
mp-766603,Li5Fe8(BO3)8,14.9999996
mp-31231,Sr5Mo2N7,0.0
mp-559931,VF3,3.9999487
mp-10711,VSi2,0.0033369
mp-775432,Li2V3TeO8,20.004128
mp-1097114,VCr2W,18.9939242
mvc-7707,MgTa2CoO7,23.9953283
mp-649178,Na2Li3FeO4,19.9997124
mp-766091,Li4La5Ti6Nb2O26,0.30070290000000005
mp-644092,Na2LiAlH6,0.0002783
mp-707883,CsB6H8O7,0.0
mp-1027352,Te4Mo3WS4,0.005952600000000001
mp-1021209,NaLaMg6,0.0034176
mp-541640,Nd4Os6O19,0.0433047
mp-1095231,Ba3(LiBi)4,-3.59e-05
mp-32927,Tb2O3,-9.6e-06
mp-850760,Li2MnSi4O11,6.0029614
mp-1021406,KMg6B,0.0038556
mp-680443,K4Pb9,0.0112986
mp-24984,SrFe3(P2O7)2,24.000001
mp-675329,LaZr9O20,1.1464961
mp-30577,CsK2,-6e-07
mp-779908,Na2FeO3,16.0000121
mp-1030677,NaMg6SbO8,0.0
mp-32065,MoP2O7,7.9999997999999986
mp-763833,NaLiMnPCO7,8.0038359
mp-557387,Sr2TmNbO6,0.0
mp-763863,Li4Mn3Nb3(SnO8)2,14.9767406
mp-867812,LiAlNi2,0.0049784
mp-1008472,CdSiP2,0.001486
mp-1001606,LuFeC2,2.1190628
mp-31303,Pr4Se3N2,-0.00107
mp-3319,Mg(RhO2)2,0.0
mp-1210,ThCd2,5.44e-05
mp-772635,Mn3Cr2Co3O16,18.0005012
mp-763054,Fe2OF3,36.0000333
mp-1097522,Be2NiPd,-0.5108934
mp-865013,EuAgAu2,6.7710466
mp-975530,RbAl,-0.0008359999999999999
mp-7708,TlCdS2,0.0004525000000000001
mp-763572,LiV2P5O16,8.0000355
mp-1071985,CeSnAu,2.0511099
mp-763538,LiV4(PO4)3,48.0027402
mp-1040161,RbLiMg30O31,0.0
mp-559535,H5C2ClO,-0.0004015
mp-758073,Re6Pb6O19,-0.0038766
mp-1039443,MgCd,0.0019639
mp-763564,LiV(PO3)3,6.006629599999999
mp-542136,Na3PSO3,-3.78e-05
mp-1095725,InHgPb2,1.0
mp-772823,Y2HfO5,-0.0019049
mp-1093771,Sr2ZnAg,-0.0037188
mp-6639,RbGeSbO5,0.0
mp-1025881,Te2Mo2W(SeS)2,0.0048468
mp-29790,U3Te5,31.309737100000003
mp-23683,H2CO,-2.49e-05
mp-1025280,Sr2Cu(OF)2,2.6e-06
mp-676724,Ca(Al3Te5)2,-0.0033324
mp-1028259,CeYMg14,-0.0945183
mp-642795,PHSF2,-0.0006408
mp-1076765,La4Sm4Ni7AgO20,53.9662353
mp-2432,CaMg2,1.9e-06
mp-774332,Na2Co2O3,11.9997649
mp-1018178,Ba2Zn,0.0068164
mp-604467,UO2,2.0003074
mp-975994,NaLa3,0.0046849
mp-1076916,GdBiPd,6.9987942
mp-777653,Li2Cr3FeO8,48.0007651
mp-582759,Ti6Ni16Ge7,0.0012612
mp-19977,SmIn3,-1.21e-05
mp-774272,V12O29,1.998709
mp-557498,NaBi2AuO5,-0.0003701
mp-865959,LiHo2Ru,3.72e-05
mp-561282,CoTeO3,12.000086
mp-770894,Li2CrPO4F,31.9949418
mp-774095,Li2Mn2CuO6,13.9985655
mp-12681,LiMnTe2,3.9999993
mp-1094317,Sr2Mg,0.0080353
mvc-13532,AlCoO3,3.7930524
mp-763396,Li4Co2Si3O10,12.000652699999998
mp-864954,MgMoN2,-0.0002405
mp-764903,Li6FeO5F,6.8491021
mp-1097381,Al2TcAu,3.0265501
mp-861872,Ac2HgGe,-5.86e-05
mp-865221,Dy2IrPd,-1.4e-06
mp-553930,B2Pb6SO12,-0.0010949999999999998
mp-767643,Li3Mn2Fe(BO3)4,26.0003396
mp-631369,Ba2NiF6,1.9999983
mp-867972,Na6U(SO5)4,7.99781
mp-650598,U(PbO2)3,-0.0011831
mp-734266,SmH12(NO5)3,0.0
mp-31623,Ca2CoO3,2.9999997000000005
mp-566801,VO2,3.9999919
mp-763988,Li4NbTe2WO12,0.0034821999999999995
mp-15904,BaGd2ZnO5,55.99999860000001
mp-850136,LiFeOF2,20.0009618
mp-781712,Na2SnO2,0.0020723000000000004
mp-757490,LiSnPO4,0.0002452
mp-1021680,HfMg6V,5.4301203000000005
mp-572778,Cu3BiTe2ClO8,11.9999996
mp-686673,Ba(Hf2As3)6,-0.0002819
mp-1094197,Mg2Sn,0.000826
mp-1095338,BaUTe4,4.6379701
mp-1033312,Mg6BCO8,0.0833373
mp-1032583,SrYMg6O8,-1.0028
mp-1038368,HfMg30CO32,2.0
mp-756344,Li4ZrO4,5.03e-05
mp-12233,ZnB4O7,0.0
mp-640079,Mn3Au,32.169948
mp-763467,LiPW4O13,1.7e-06
mp-770911,Li3Fe4CuO8,19.1066855
mp-764981,Li4Mn3OF8,59.9997827
mp-866022,CdPt3,-5.700000000000001e-06
mvc-12312,VNiP2O9,10.4062811
mp-8412,LiCeO2,4.0000001
mp-1019361,ThSbTe,-0.0013880999999999998
mp-675946,Li2MgBr4,0.0025663
mp-2571,Rb2O3,4.0000004
mp-686801,Al6ZnP4(H4O7)4,0.0175418
mp-560040,Ca2Nb2O7,-0.0002794
mp-1096793,Al2Zn2S5,0.0012634
mp-1029321,Te2MoWSe2,0.0
mp-1093868,YPbAu2,1.0000959
mp-555860,EuTiClO3,12.0000477
mp-556163,Zn2SiO4,-7.35e-05
mp-762931,Li(FeO2)3,-5.9999995
mp-11577,YbZn,-1.31e-05
mp-641911,Ce(In2Pd)2,-0.0305275
mp-540812,Sr2CuF6,1.9335918
mp-675130,Tb6PbSe10,0.0044213
mp-1029144,Te2MoWSe2,-0.0
mp-698362,H22IrC3(N3O4)2,0.0159207
mp-777872,Li2Fe3CuO8,59.9931314
mp-567038,Ba2V4Cd3O15,0.0024923
mp-3447,Th(CrGe)2,0.0008897999999999998
mp-705867,NaFe8F24,77.99909840000002
mp-10681,B2Au,3.83e-05
mp-625807,Al(HO)3,0.0125807
mp-1069057,Sr(CoSi)2,2e-05
mp-561187,NdGa3(BO3)4,-0.00034989999999999994
mp-850253,LiFe2(BO3)2,36.000688200000006
mp-1037138,HfMg30CuO32,-0.0
mp-758427,Li2Cu3(CO3)3,2.0003959
mp-554614,Cu3(AsO4)2,-1.9998393
mp-1009132,HoBiPd,-0.0001124
mp-20309,EuPb3,6.9939173
mp-12315,DyBO3,0.0
mp-1098834,HfMg30FeO32,5.1793045
mp-775274,K2CrO4,9.83e-05
mp-753298,PrYO2,3.54e-05
mp-1078645,YCoGe2,-2e-06
mp-29250,Li6VCl8,2.9999995
mp-745199,H12WN3O3F5,-0.0002926
mp-760832,LiTi2O4,8.938074900000002
mp-677499,Na5Ti7Al(PO4)12,0.0
mp-853220,Ni3(P2O7)2,12.5297477
mp-378,ErSi,-1.0800000000000003e-05
mp-773068,LiZr2(PO4)3,-0.0002242
mvc-10874,Ba(FeO2)4,17.9999988
mp-645,TbP,-6.2e-06
mp-22880,FeBr2,-0.06527899999999999
mp-1098763,YMg30VO32,3.0428987000000003
mp-1096701,Ga2CoIr,2.8380399
mp-2968,Sr(MnSb)2,9.024257400000002
mp-999357,NbN,3.34e-05
mp-775300,Na3CoO3,16.0002038
mp-764694,LiVF5,2.0001049
mp-30541,Nb(NiP4)4,-9.48e-05
mp-1093762,KNa2Pb,1.7100498
mp-30830,V3Pb,-0.0004077
mp-972514,SmTa3,0.0001943
mp-768570,Sr2CaI6,0.0005946
mp-1005986,Zr9CoMo4,0.0068561
mp-567643,Ba12Na15Li8N6,0.015896200000000003
