Unnamed: 0,Material Composition,A site #1,A site #2,A site #3,B site #1,B site #2,B site #3,X site,Number of elements,energy_above_hull (meV/atom),formation_energy (eV/atom)
295,Ba7La1Fe6Co2O24,Ba,La,,Fe,Co,,O,5,97.04621619,-1.4519236759999998
296,Ba7La1Fe7Co1O24,Ba,La,,Fe,Co,,O,5,86.04966315,-1.480423711
297,Ba7La1Fe8O24,Ba,La,,Fe,,,O,4,66.0766101,-1.5179002469999998
298,Ba7Mg1Fe8O24,Ba,Mg,,Fe,,,O,4,156.22972980000003,-1.352330927
300,Ba7Nd1Fe8O24,Ba,Nd,,Fe,,,O,4,71.90056154,-1.505770531
301,Ba7Pr1Fe8O24,Ba,Pr,,Fe,,,O,4,68.67920135,-1.506965255
302,Ba7Sm1Fe8O24,Ba,Sm,,Fe,,,O,4,78.67122954,-1.502408211
303,Ba7Sn1Fe8O24,Ba,Sn,,Fe,,,O,4,185.4042107,-1.320784417
304,Ba7Sn1Hf1Zr6Fe1O24,Ba,Sn,,Zr,Fe,Hf,O,6,0.0,-2.700424459
305,Ba7Sn1Zr7Fe1O24,Ba,Sn,,Zr,Fe,,O,5,21.17208738,-2.631881583
306,Ba7Sr1Fe8O24,Ba,Sr,,Fe,,,O,4,80.73776665,-1.432928634
307,Ba7Sr1Mn1Fe7O24,Ba,Sr,,Mn,Fe,,O,5,87.78436313,-1.452043859
308,Ba7Sr1Mn2Fe6O24,Ba,Sr,,Mn,Fe,,O,5,93.67170962,-1.472318334
309,Ba7Zn1Co8O24,Ba,Zn,,Co,,,O,4,177.28302040000003,-1.056878082
310,Ba7Zn1Fe8O24,Ba,Zn,,Fe,,,O,4,150.3710259,-1.294539365
311,Ba7Zn1Ni8O24,Ba,Zn,,Ni,,,O,4,325.4978877,-0.613376457
312,Ba8Al1Fe7O24,Ba,,,Al,Fe,,O,4,113.1353022,-1.4958436659999998
313,Ba8Al2Fe6O24,Ba,,,Al,Fe,,O,4,136.31607680000002,-1.578989726
315,Ba8Al6Fe2O24,Ba,,,Al,Fe,,O,4,201.8175651,-1.936929466
316,Ba8Al8O24,Ba,,,Al,,,O,3,227.4912848,-2.118311086
317,Ba8Co6Ni2O24,Ba,,,Co,Ni,,O,4,191.113049,-1.055268041
319,Ba8Co8O24,Ba,,,Co,,,O,3,124.5421108,-1.171894073
320,Ba8Cr8O24,Ba,,,Cr,,,O,3,15.00782838,-1.809455134
322,Ba8Fe1Co7O24,Ba,,,Fe,Co,,O,4,133.0303249,-1.193319608
324,Ba8Fe2Co6O24,Ba,,,Fe,Co,,O,4,120.4137889,-1.235849893
326,Ba8Fe2Nb1Co5O24,Ba,,,Fe,Nb,Co,O,5,122.3113557,-1.4220036109999998
327,Ba8Fe2Ni6O24,Ba,,,Fe,Ni,,O,4,202.2698084,-0.91972005
329,Ba8Fe4Cu4O24,Ba,,,Fe,Cu,,O,4,198.0618591,-1.098473286
330,Ba8Fe4Ir4O24,Ba,,,Fe,Ir,,O,4,0.0,-1.416635672
331,Ba8Fe4Mo4O24,Ba,,,Fe,Mo,,O,4,347.3831,-1.442927714
332,Ba8Fe4Ni4O24,Ba,,,Fe,Ni,,O,4,174.06027749999996,-1.087443402
334,Ba8Fe4Pd4O24,Ba,,,Fe,Pd,,O,4,41.60128787,-1.224044786
335,Ba8Fe4Pt4O24,Ba,,,Fe,Pt,,O,4,9.796766169,-1.309194198
336,Ba8Fe4Re4O24,Ba,,,Fe,Re,,O,4,0.678471,-1.762229139
337,Ba8Fe4Rh4O24,Ba,,,Fe,Rh,,O,4,7.487661938,-1.377199129
338,Ba8Fe4Ru4O24,Ba,,,Fe,Ru,,O,4,0.0,-1.51299853
339,Ba8Fe4Tc4O24,Ba,,,Fe,Tc,,O,4,0.0,-1.710742351
340,Ba8Fe6Co2O24,Ba,,,Fe,Co,,O,4,108.5373838,-1.359107785
341,Ba8Fe6Cu2O24,Ba,,,Fe,Cu,,O,4,134.18069340000002,-1.265412946
342,Ba8Fe6Ir2O24,Ba,,,Fe,Ir,,O,4,0.0,-1.445805264
343,Ba8Fe6Mo2O24,Ba,,,Fe,Mo,,O,4,179.2587231,-1.50189466
344,Ba8Fe6Ni2O24,Ba,,,Fe,Ni,,O,4,137.47965259999998,-1.244598254
345,Ba8Fe6Os2O24,Ba,,,Fe,Os,,O,4,29.45910878,-1.538052103
346,Ba8Fe6Pd2O24,Ba,,,Fe,Pd,,O,4,69.28696139,-1.3183956959999998
347,Ba8Fe6Pt2O24,Ba,,,Fe,Pt,,O,4,49.34328566,-1.366212652
349,Ba8Fe6Rh2O24,Ba,,,Fe,Rh,,O,4,36.52821981,-1.4071412419999998
350,Ba8Fe6Ru2O24,Ba,,,Fe,Ru,,O,4,12.9458568,-1.490029693
351,Ba8Fe6Tc2O24,Ba,,,Fe,Tc,,O,4,0.0,-1.636077103
352,Ba8Fe7Co1O24,Ba,,,Fe,Co,,O,4,91.46208074,-1.39368657
353,Ba8Fe7Cu1O24,Ba,,,Fe,Cu,,O,4,103.8011105,-1.347321776
354,Ba8Fe7Ir1O24,Ba,,,Fe,Ir,,O,4,32.0094037,-1.441287185
355,Ba8Fe7Mo1O24,Ba,,,Fe,Mo,,O,4,127.6818842,-1.4645248830000002
356,Ba8Fe7Ni1O24,Ba,,,Fe,Ni,,O,4,114.75434009999998,-1.32761068
357,Ba8Fe7Os1O24,Ba,,,Fe,Os,,O,4,34.7342257,-1.502512229
358,Ba8Fe7Pd1O24,Ba,,,Fe,Pd,,O,4,75.87824454,-1.369289151
359,Ba8Fe7Pt1O24,Ba,,,Fe,Pt,,O,4,63.68903168,-1.395415004
360,Ba8Fe7Re1O24,Ba,,,Fe,Re,,O,4,30.40327127,-1.573339364
361,Ba8Fe7Rh1O24,Ba,,,Fe,Rh,,O,4,56.15299875,-1.417007799
362,Ba8Fe7Ru1O24,Ba,,,Fe,Ru,,O,4,36.36319225,-1.466450649
363,Ba8Fe7Tc1O24,Ba,,,Fe,Tc,,O,4,0.0,-1.545820105
364,Ba8Fe8O24,Ba,,,Fe,,,O,3,77.29127769,-1.425360856
365,Ba8Ga1Fe7O24,Ba,,,Ga,Fe,,O,4,102.0364363,-1.437099348
366,Ba8Ga2Fe6O24,Ba,,,Ga,Fe,,O,4,128.3643449,-1.447255089
367,Ba8Ga4Fe4O24,Ba,,,Ga,Fe,,O,4,182.7409121,-1.4658458230000002
368,Ba8Ga6Fe2O24,Ba,,,Ga,Fe,,O,4,238.3342292,-1.4832198069999998
369,Ba8Ga8O24,Ba,,,Ga,,,O,3,278.3077818,-1.513289541
370,Ba8Hf1Fe7O24,Ba,,,Hf,Fe,,O,4,73.49782973,-1.61823072
371,Ba8Hf1Zr6Fe1O24,Ba,,,Hf,Zr,Fe,O,5,0.0,-2.737824648
372,Ba8Hf2Fe6O24,Ba,,,Hf,Fe,,O,4,71.44563177,-1.809359333
373,Ba8Hf2Zr5Fe1O24,Ba,,,Hf,Zr,Fe,O,5,0.0,-2.748078523
374,Ba8Hf4Co4O24,Ba,,,Hf,Co,,O,4,131.35015239999998,-2.02449967
377,Ba8Hf4Zr3Fe1O24,Ba,,,Hf,Zr,Fe,O,5,1.167639961,-2.769420525
378,Ba8Hf6Co2O24,Ba,,,Hf,Co,,O,4,70.2166732,-2.515339968
379,Ba8Hf6Fe2O24,Ba,,,Hf,Fe,,O,4,38.74908992,-2.598361539
380,Ba8Hf6Ni2O24,Ba,,,Hf,Ni,,O,4,96.85869836,-2.420450187
381,Ba8Hf7Co1O24,Ba,,,Hf,Co,,O,4,45.7531836,-2.754656867
382,Ba8Hf7Fe1O24,Ba,,,Hf,Fe,,O,4,23.50114196,-2.802685903
383,Ba8Hf7Ni1O24,Ba,,,Hf,Ni,,O,4,51.86444618,-2.714421727
384,Ba8Hf8O24,Ba,,,Hf,,,O,3,8.216444000000001,-3.007047017
385,Ba8Ir8O24,Ba,,,Ir,,,O,3,163.2978649,-1.077299988
386,Ba8Mn1Co7O24,Ba,,,Mn,Co,,O,4,129.60153219999998,-1.216785083
387,Ba8Mn1Fe7O24,Ba,,,Mn,Fe,,O,4,83.56862417,-1.445245331
388,Ba8Mn1Ni7O24,Ba,,,Mn,Ni,,O,4,265.2705921,-0.8103705990000001
389,Ba8Mn2Co6O24,Ba,,,Mn,Co,,O,4,142.33395359999997,-1.254003094
391,Ba8Mn2Zr1Fe5O24,Ba,,,Mn,Zr,Fe,O,5,0.0,-1.975964544
392,Ba8Mn4Co4O24,Ba,,,Mn,Co,,O,4,155.6630465,-1.340574864
393,Ba8Mn4Fe4O24,Ba,,,Mn,Fe,,O,4,100.8156636,-1.506483756
394,Ba8Mn4Ni4O24,Ba,,,Mn,Ni,,O,4,215.60485,-1.139531802
395,Ba8Mn6Co2O24,Ba,,,Mn,Co,,O,4,179.41288930000005,-1.416725885
396,Ba8Mn6Ni2O24,Ba,,,Mn,Ni,,O,4,185.1978553,-1.356269104
397,Ba8Mn7Co1O24,Ba,,,Mn,Co,,O,4,168.5178267,-1.476970396
398,Ba8Mn7Fe1O24,Ba,,,Mn,Fe,,O,4,157.24298149999996,-1.517966181
399,Ba8Mn7Ni1O24,Ba,,,Mn,Ni,,O,4,182.0754208,-1.438385255
400,Ba8Mn8O24,Ba,,,Mn,,,O,3,159.4035459,-1.5342321559999998
401,Ba8Mo8O24,Ba,,,Mo,,,O,3,643.729766,-1.164179822
402,Ba8Nb1Fe7O24,Ba,,,Nb,Fe,,O,4,69.43614177,-1.5996270380000002
403,Ba8Nb2Fe6O24,Ba,,,Nb,Fe,,O,4,57.32200585,-1.77815222
404,Ba8Nb4Co4O24,Ba,,,Nb,Co,,O,4,37.933246200000006,-1.976335692
405,Ba8Nb4Fe4O24,Ba,,,Nb,Fe,,O,4,24.184234,-2.144112084
406,Ba8Nb4Ni4O24,Ba,,,Nb,Ni,,O,4,70.35410236,-1.80763963
407,Ba8Nb6Fe2O24,Ba,,,Nb,Fe,,O,4,24.89260867,-2.308538198
408,Ba8Nb7Co1O24,Ba,,,Nb,Co,,O,4,45.07319863,-2.334486594
411,Ba8Nb8O24,Ba,,,Nb,,,O,3,7.667046000000001,-2.393729562
412,Ba8Ni4Co4O24,Ba,,,Ni,Co,,O,4,260.1297372,-0.93619626
413,Ba8Ni6Co2O24,Ba,,,Ni,Co,,O,4,250.2520383,-0.8391489790000001
414,Ba8Ni7Co1O24,Ba,,,Ni,Co,,O,4,245.6924389,-0.790246088
415,Ba8Ni8O24,Ba,,,Ni,,,O,3,271.3193394,-0.7111566979999999
416,Ba8Os8O24,Ba,,,Os,,,O,3,92.45610791,-1.258923595
417,Ba8Pd8O24,Ba,,,Pd,,,O,3,90.40683362,-0.924098966
418,Ba8Pt8O24,Ba,,,Pt,,,O,3,156.6279303,-0.93345629
420,Ba8Rh8O24,Ba,,,Rh,,,O,3,114.525327,-1.139415902
422,Ba8Ta1Fe7O24,Ba,,,Ta,Fe,,O,4,54.29203205,-1.627573211
423,Ba8Ta2Fe6O24,Ba,,,Ta,Fe,,O,4,27.31353641,-1.833764816
424,Ba8Ta4Co4O24,Ba,,,Ta,Co,,O,4,21.6105345,-2.081274885
425,Ba8Ta4Fe4O24,Ba,,,Ta,Fe,,O,4,0.0,-2.255396027
426,Ba8Ta4Ni4O24,Ba,,,Ta,Ni,,O,4,88.18349836,-1.917420573
427,Ba8Ta6Co2O24,Ba,,,Ta,Co,,O,4,58.99391702,-2.405697416
428,Ba8Ta6Fe2O24,Ba,,,Ta,Fe,,O,4,121.5710071,-2.359370237
429,Ba8Ta6Ni2O24,Ba,,,Ta,Ni,,O,4,112.0035505,-2.350999135
430,Ba8Ta7Co1O24,Ba,,,Ta,Co,,O,4,109.4739007,-2.432905557
431,Ba8Ta7Fe1O24,Ba,,,Ta,Fe,,O,4,76.60506372,-2.463315342
432,Ba8Ta7Ni1O24,Ba,,,Ta,Ni,,O,4,127.2399666,-2.418641916
433,Ba8Ta8O24,Ba,,,Ta,,,O,3,50.0993,-2.482716948
434,Ba8Tc8O24,Ba,,,Tc,,,O,3,15.621525,-1.675769347
435,Ba8Ti8O24,Ba,,,Ti,,,O,3,19.340972,-2.699870235
437,Ba8Y1Fe7O24,Ba,,,Y,Fe,,O,4,73.80231391,-1.554715959
438,Ba8Y2Fe6O24,Ba,,,Y,Fe,,O,4,63.15129713,-1.691098562
439,Ba8Y4Fe4O24,Ba,,,Y,Fe,,O,4,64.50496061,-1.941073519
441,Ba8Zn1Fe7O24,Ba,,,Zn,Fe,,O,4,101.7979903,-1.384754396
443,Ba8Zn4Fe4O24,Ba,,,Zn,Fe,,O,4,197.4213782,-1.240831769
444,Ba8Zn6Fe2O24,Ba,,,Zn,Fe,,O,4,261.7248035,-1.14432885
446,Ba8Zr1Fe7O24,Ba,,,Zr,Fe,,O,4,64.66274573,-1.608532844
448,Ba8Zr3Fe1Co4O24,Ba,,,Zr,Fe,Co,O,5,74.58610407,-1.840725178
449,Ba8Zr3Fe1Cu4O24,Ba,,,Zr,Fe,Cu,O,5,149.6111673,-1.6591415
450,Ba8Zr3Fe1Mo4O24,Ba,,,Zr,Fe,Mo,O,5,307.8305393,-1.892838178
451,Ba8Zr3Fe1Ni4O24,Ba,,,Zr,Fe,Ni,O,5,140.1344572,-1.631705116
452,Ba8Zr3Fe5O24,Ba,,,Zr,Fe,,O,4,40.02993181,-1.97425257
453,Ba8Zr3Nb4Fe1O24,Ba,,,Zr,Nb,Fe,O,5,10.5881855,-2.543572798
454,Ba8Zr3Ta4Fe1O24,Ba,,,Zr,Ta,Fe,O,5,29.91808225,-2.628216991
455,Ba8Zr3Zn4Fe1O24,Ba,,,Zr,Zn,Fe,O,5,177.6330323,-1.772250483
456,Ba8Zr4Co4O24,Ba,,,Zr,Co,,O,4,92.44931641,-1.989268666
457,Ba8Zr4Fe4O24,Ba,,,Zr,Fe,,O,4,26.88964985,-2.157936308
459,Ba8Zr5Fe1Co2O24,Ba,,,Zr,Fe,Co,O,5,56.47995687,-2.251472225
460,Ba8Zr5Fe1Cu2O24,Ba,,,Zr,Fe,Cu,O,5,78.02361062,-2.174580886
461,Ba8Zr5Fe1Mo2O24,Ba,,,Zr,Fe,Mo,O,5,130.8614158,-2.33457985
462,Ba8Zr5Fe1Ni2O24,Ba,,,Zr,Fe,Ni,O,5,66.14597382,-2.169529944
463,Ba8Zr5Nb2Fe1O24,Ba,,,Zr,Nb,Fe,O,5,0.0,-2.66665641
464,Ba8Zr5Ta2Fe1O24,Ba,,,Zr,Ta,Fe,O,5,0.0,-2.7248200060000003
465,Ba8Zr5Zn2Fe1O24,Ba,,,Zr,Zn,Fe,O,5,79.33429315,-2.243835627
466,Ba8Zr6Co2O24,Ba,,,Zr,Co,,O,4,28.9476692,-2.4454112130000003
468,Ba8Zr6Fe1Cu1O24,Ba,,,Zr,Fe,Cu,O,5,29.16320729,-2.445367204
469,Ba8Zr6Fe1Mo1O24,Ba,,,Zr,Fe,Mo,O,5,53.828979,-2.543998561
470,Ba8Zr6Fe1Ni1O24,Ba,,,Zr,Fe,Ni,O,5,22.64126389,-2.443424858
471,Ba8Zr6Fe1W1O24,Ba,,,Zr,Fe,W,O,5,80.30888725,-2.531540073
472,Ba8Zr6Fe2O24,Ba,,,Zr,Fe,,O,4,0.0,-2.533946284
473,Ba8Zr6Nb1Fe1O24,Ba,,,Zr,Nb,Fe,O,5,0.0,-2.719177966
474,Ba8Zr6Ni2O24,Ba,,,Zr,Ni,,O,4,50.49019186,-2.355729182
475,Ba8Zr6Ta1Fe1O24,Ba,,,Zr,Ta,Fe,O,5,0.0,-2.748226389
476,Ba8Zr6Zn1Fe1O24,Ba,,,Zr,Zn,Fe,O,5,31.12904856,-2.478684074
478,Ba8Zr7Fe1O24,Ba,,,Zr,Fe,,O,4,0.0,-2.726921272
479,Ba8Zr7Ni1O24,Ba,,,Zr,Ni,,O,4,0.0,-2.638521346
480,Ba8Zr8O24,Ba,,,Zr,,,O,3,0.0,-2.92152626
481,Bi1Ba3Sr4Fe2Co6O24,Bi,Ba,Sr,Co,Fe,,O,6,125.29220759999998,-1.188308338
482,Bi2Ba2Sr4Fe2Co6O24,Bi,Ba,Sr,Co,Fe,,O,6,126.8818988,-1.12355392
483,Bi4Pr4Co8O24,Bi,Pr,,Co,,,O,4,69.47351553,-1.201756999
484,Bi4Sr4Fe2Co6O24,Bi,Sr,,Co,Fe,,O,5,170.38861730000005,-0.946845584
485,Ca2La6Co8O24,Ca,La,,Co,,,O,4,50.02545233,-1.693684058
486,Ca2La6Cr8O24,Ca,La,,Cr,,,O,4,0.0,-2.297925369
487,Ca2La6Fe8O24,Ca,La,,Fe,,,O,4,0.0,-2.034383841
488,Ca2La6Ga8O24,Ca,La,,Ga,,,O,4,73.97414683,-2.173541276
489,Ca2La6Mn8O24,Ca,La,,Mn,,,O,4,32.78993069,-2.086982891
490,Ca2La6Ni8O24,Ca,La,,Ni,,,O,4,178.0014551,-1.3654876830000002
491,Ca2La6Sc8O24,Ca,La,,Sc,,,O,4,30.46897905,-3.024746263
492,Ca2La6Ti8O24,Ca,La,,Ti,,,O,4,8.970625875,-2.85557872
493,Ca2La6V8O24,Ca,La,,V,,,O,4,33.20006813,-2.380528093
494,Ca2Pr6Co8O24,Ca,Pr,,Co,,,O,4,49.69176246,-1.640763609
495,Ca2Pr6Cr8O24,Ca,Pr,,Cr,,,O,4,13.89243768,-2.16896417
496,Ca2Pr6Fe8O24,Ca,Pr,,Fe,,,O,4,55.47285962,-1.918872892
497,Ca2Pr6Ga8O24,Ca,Pr,,Ga,,,O,4,132.7738634,-2.055867827
498,Ca2Pr6Mn8O24,Ca,Pr,,Mn,,,O,4,33.27336669,-2.038203692
499,Ca2Pr6Ni8O24,Ca,Pr,,Ni,,,O,4,169.7197653,-1.320515234
500,Ca2Pr6Sc8O24,Ca,Pr,,Sc,,,O,4,81.03949818,-2.920140564
501,Ca2Pr6Ti8O24,Ca,Pr,,Ti,,,O,4,19.2994335,-2.778831272
502,Ca2Pr6V8O24,Ca,Pr,,V,,,O,4,8.630709047,-2.312405894
504,Ca2Y6Cr8O24,Ca,Y,,Cr,,,O,4,43.46433055,-2.242836205
505,Ca2Y6Fe8O24,Ca,Y,,Fe,,,O,4,45.6348093,-1.982846177
506,Ca2Y6Ga8O24,Ca,Y,,Ga,,,O,4,139.0621585,-2.124650112
507,Ca2Y6Mn8O24,Ca,Y,,Mn,,,O,4,38.19251136,-2.098369227
508,Ca2Y6Ni8O24,Ca,Y,,Ni,,,O,4,123.8495201,-1.453915269
509,Ca2Y6Sc8O24,Ca,Y,,Sc,,,O,4,84.87592237,-2.982486099
510,Ca2Y6Ti8O24,Ca,Y,,Ti,,,O,4,17.00030381,-2.846387307
511,Ca2Y6V8O24,Ca,Y,,V,,,O,4,0.0,-2.439623429
512,Ca4Ba4Co4Ni4O24,Ca,Ba,,Co,Ni,,O,5,292.3906631,-0.945009039
513,Ca4Ba4Co6Ni2O24,Ca,Ba,,Co,Ni,,O,5,235.4092249,-1.05204557
514,Ca4Ba4Co7Ni1O24,Ca,Ba,,Co,Ni,,O,5,220.00338080000003,-1.092478961
515,Ca4Ba4Fe1Co7O24,Ca,Ba,,Fe,Co,,O,5,196.0741586,-1.173814137
517,Ca4Ba4Fe2Co6O24,Ca,Ba,,Fe,Co,,O,5,186.0265304,-1.216240172
518,Ca4Ba4Fe2Ni6O24,Ca,Ba,,Fe,Ni,,O,5,309.8566214,-0.910076829
519,Ca4Ba4Mn1Co7O24,Ca,Ba,,Mn,Co,,O,5,189.9522081,-1.197508112
520,Ca4Ba4Mn1Ni7O24,Ca,Ba,,Mn,Ni,,O,5,340.43765510000014,-0.833147128
521,Ca4Ba4Mn2Co6O24,Ca,Ba,,Mn,Co,,O,5,189.8246296,-1.247586123
523,Ca4Ba4Mn2Ni6O24,Ca,Ba,,Mn,Ni,,O,5,318.3999077,-0.948350029
524,Ca4Ba4Mn4Co4O24,Ca,Ba,,Mn,Co,,O,5,189.1762542,-1.346933393
525,Ca4Ba4Mn4Ni4O24,Ca,Ba,,Mn,Ni,,O,5,274.75663060000005,-1.161242831
526,Ca4Ba4Mn6Co2O24,Ca,Ba,,Mn,Co,,O,5,191.8366738,-1.438880414
527,Ca4Ba4Mn6Fe2O24,Ca,Ba,,Mn,Fe,,O,5,178.58616750000004,-1.516887735
528,Ca4Ba4Mn6Ni2O24,Ca,Ba,,Mn,Ni,,O,5,231.128112,-1.349533883
529,Ca4Ba4Mn7Co1O24,Ca,Ba,,Mn,Co,,O,5,196.4091336,-1.481611675
530,Ca4Ba4Mn7Fe1O24,Ca,Ba,,Mn,Fe,,O,5,190.0752554,-1.52032396
531,Ca4Ba4Mn7Ni1O24,Ca,Ba,,Mn,Ni,,O,5,210.3357277,-1.442657534
533,Ca4Ba4Ni6Co2O24,Ca,Ba,,Ni,Co,,O,5,357.1453513,-0.8301992579999999
534,Ca4Ba4Ni7Co1O24,Ca,Ba,,Ni,Co,,O,5,351.8175019,-0.7820646170000001
535,Ca4La4Co8O24,Ca,La,,Co,,,O,4,75.15595576,-1.546844915
536,Ca4La4Cr8O24,Ca,La,,Cr,,,O,4,0.203972667,-2.150521976
537,Ca4La4Fe8O24,Ca,La,,Fe,,,O,4,0.593437233,-1.894836948
538,Ca4La4Ga8O24,Ca,La,,Ga,,,O,4,139.3700039,-1.991198883
539,Ca4La4Mn8O24,Ca,La,,Mn,,,O,4,38.14616569,-1.963347749
540,Ca4La4Ni8O24,Ca,La,,Ni,,,O,4,232.2092086,-1.18957129
541,Ca4La4Sc8O24,Ca,La,,Sc,,,O,4,87.36071311,-2.83926262
542,Ca4La4Ti8O24,Ca,La,,Ti,,,O,4,0.0,-2.845021828
544,Ca4Pr4Co8O24,Ca,Pr,,Co,,,O,4,73.13416251,-1.51336395
545,Ca4Pr4Cr8O24,Ca,Pr,,Cr,,,O,4,51.42310236,-2.050551511
546,Ca4Pr4Fe8O24,Ca,Pr,,Fe,,,O,4,72.01080223,-1.790089983
547,Ca4Pr4Ga8O24,Ca,Pr,,Ga,,,O,4,204.0999935,-1.885898668
549,Ca4Pr4Ni8O24,Ca,Pr,,Ni,,,O,4,224.4021653,-1.161875575
551,Ca4Pr4Ti8O24,Ca,Pr,,Ti,,,O,4,21.819592,-2.793286362
552,Ca4Pr4V8O24,Ca,Pr,,V,,,O,4,21.12324531,-2.256039985
553,Ca4Sr4Co4Ni4O24,Ca,Sr,,Co,Ni,,O,5,244.8003451,-1.006614402
554,Ca4Sr4Co6Ni2O24,Ca,Sr,,Co,Ni,,O,5,213.3656569,-1.088104183
555,Ca4Sr4Co7Ni1O24,Ca,Sr,,Co,Ni,,O,5,179.6593128,-1.1468380740000002
556,Ca4Sr4Fe1Co7O24,Ca,Sr,,Fe,Co,,O,5,141.4534555,-1.2432285
557,Ca4Sr4Fe1Ni7O24,Ca,Sr,,Fe,Ni,,O,5,313.927543,-0.884089516
558,Ca4Sr4Fe2Co6O24,Ca,Sr,,Fe,Co,,O,5,142.82619230000003,-1.275012785
560,Ca4Sr4Mn1Co7O24,Ca,Sr,,Mn,Co,,O,5,144.1544983,-1.260115725
561,Ca4Sr4Mn1Ni7O24,Ca,Sr,,Mn,Ni,,O,5,347.2959006,-0.871175741
562,Ca4Sr4Mn2Co6O24,Ca,Sr,,Mn,Co,,O,5,150.04202800000004,-1.306973486
563,Ca4Sr4Mn4Co4O24,Ca,Sr,,Mn,Co,,O,5,138.5759318,-1.414601756
564,Ca4Sr4Mn4Ni4O24,Ca,Sr,,Mn,Ni,,O,5,238.5350582,-1.214532444
565,Ca4Sr4Mn6Co2O24,Ca,Sr,,Mn,Co,,O,5,139.2313513,-1.508553777
566,Ca4Sr4Mn6Fe2O24,Ca,Sr,,Mn,Fe,,O,5,129.155595,-1.583386348
567,Ca4Sr4Mn6Ni2O24,Ca,Sr,,Mn,Ni,,O,5,184.3307895,-1.413399246
568,Ca4Sr4Mn7Co1O24,Ca,Sr,,Mn,Co,,O,5,151.8983111,-1.5431905380000002
569,Ca4Sr4Mn7Fe1O24,Ca,Sr,,Mn,Fe,,O,5,132.392433,-1.595074823
570,Ca4Sr4Mn7Ni1O24,Ca,Sr,,Mn,Ni,,O,5,158.4134052,-1.5116478969999998
571,Ca4Sr4Ni4Co4O24,Ca,Sr,,Ni,Co,,O,5,247.9095951,-1.003505152
573,Ca4Sr4Ni7Co1O24,Ca,Sr,,Ni,Co,,O,5,324.9450843,-0.83808323
575,Ca4Y4Cr8O24,Ca,Y,,Cr,,,O,4,63.96485561,-2.096362951
576,Ca4Y4Fe8O24,Ca,Y,,Fe,,,O,4,74.81814061,-1.829060423
577,Ca4Y4Ga8O24,Ca,Y,,Ga,,,O,4,207.7571831,-1.930453608
578,Ca4Y4Mn8O24,Ca,Y,,Mn,,,O,4,39.11088786,-1.970934723
580,Ca4Y4Sc8O24,Ca,Y,,Sc,,,O,4,142.3238844,-2.793383345
581,Ca4Y4Ti8O24,Ca,Y,,Ti,,,O,4,0.0,-2.838364302
583,Ca8Co4Ni4O24,Ca,,,Co,Ni,,O,4,286.026589,-0.992446818
584,Ca8Co6Ni2O24,Ca,,,Co,Ni,,O,4,234.6606508,-1.093867849
585,Ca8Co7Ni1O24,Ca,,,Co,Ni,,O,4,207.9048067,-1.14565124
586,Ca8Co8O24,Ca,,,Co,,,O,3,188.5147126,-1.190068881
587,Ca8Cr8O24,Ca,,,Cr,,,O,3,0.0,-1.943950692
588,Ca8Fe1Co7O24,Ca,,,Fe,Co,,O,4,189.0930845,-1.221868916
589,Ca8Fe1Ni7O24,Ca,,,Fe,Ni,,O,4,367.1383674,-0.869899182
590,Ca8Fe2Co6O24,Ca,,,Fe,Co,,O,4,193.2294563,-1.250110951
591,Ca8Fe2Ni6O24,Ca,,,Fe,Ni,,O,4,342.04001939999995,-0.953671858
592,Ca8Fe4Co4O24,Ca,,,Fe,Co,,O,4,183.1512,-1.324946022
593,Ca8Fe4Ni4O24,Ca,,,Fe,Ni,,O,4,291.0990733,-1.12196146
594,Ca8Fe6Co2O24,Ca,,,Fe,Co,,O,4,185.6616938,-1.3871923430000002
595,Ca8Fe6Ni2O24,Ca,,,Fe,Ni,,O,4,237.5833788,-1.290289062
596,Ca8Fe7Co1O24,Ca,,,Fe,Co,,O,4,184.5913156,-1.4206411280000002
597,Ca8Fe7Ni1O24,Ca,,,Fe,Ni,,O,4,208.0356581,-1.374705988
599,Ca8Mn1Co7O24,Ca,,,Mn,Co,,O,4,132.87192240000002,-1.293015391
600,Ca8Mn1Fe7O24,Ca,,,Mn,Fe,,O,4,185.0512754,-1.467484889
601,Ca8Mn1Ni7O24,Ca,,,Mn,Ni,,O,4,366.5030811,-0.884191407
602,Ca8Mn2Co6O24,Ca,,,Mn,Co,,O,4,179.6541322,-1.293536902
603,Ca8Mn2Fe6O24,Ca,,,Mn,Fe,,O,4,171.4903633,-1.495971114
604,Ca8Mn2Ni6O24,Ca,,,Mn,Ni,,O,4,336.22469680000006,-0.986801058
605,Ca8Mn4Co4O24,Ca,,,Mn,Co,,O,4,168.8673017,-1.398931172
607,Ca8Mn4Ni4O24,Ca,,,Mn,Ni,,O,4,276.00692810000004,-1.19168136
608,Ca8Mn6Co2O24,Ca,,,Mn,Co,,O,4,165.11822130000004,-1.497287693
609,Ca8Mn6Fe2O24,Ca,,,Mn,Fe,,O,4,158.037965,-1.569124764
610,Ca8Mn6Ni2O24,Ca,,,Mn,Ni,,O,4,213.31465950000003,-1.3990361619999998
611,Ca8Mn7Co1O24,Ca,,,Mn,Co,,O,4,183.8286811,-1.525880954
612,Ca8Mn7Fe1O24,Ca,,,Mn,Fe,,O,4,157.9728029,-1.584115239
